"rank","totalPoints","userID","nickname","onlineID","countryCode","driverRating","sportmanshipRating","class","manufacturer","round_1"
1,408,"28144a02-1ec0-4540-afd3-8020fe8dcc3a","Morgan","AKC_Malaga","IT","A+","S","GT1","Honda",408
2,402,"15bb98f0-c560-4781-96b0-104b7a118309","OCT el de TDG","Twitch_Josete16","ES","A+","S","GT1","Toyota",402
3,391,"df1f60fe-c9f9-4149-bceb-59d54f65be1d","Shadow977","TheShadow977","FI","A+","S","GT1","Alfa Romeo",391
4,385,"70ee665b-5cab-4ff0-ad6d-668ba1b11f91","M.Matika","DG_Digit","HR","A+","S","GT1","Peugeot",385
5,374,"dd125eaa-07d0-4866-aa7d-296a8639afc1","K. de Bruin","R8G_Kajracer","NL","S","S","GT1","Toyota",374
6,368,"a8609622-5829-42c7-b430-6e3a200f1d16","V1_Amenti","V1_Amenti","GB","A+","S","GT1","Jaguar",368
7,357,"9bb416f1-9b76-4cdc-834a-c2ed24a84690","S. Yasar","Yasar_Racer2008","NL","A+","S","GT1","Unknown",357
8,352,"bb2638ea-bc9f-4088-9935-03cb32d5bb49","N.Chaumont","MYTEAM-Poc","FR","A+","S","GT1","Renault",352
9,344,"5e1b3c73-b0d9-417f-8141-b541dd2033d6","Augh","TRL_AUGH","FR","A+","S","GT1","Lamborghini",344
10,337,"1339ce49-9d62-4f4a-ba66-a15511c595ec","EduMax","AVA_EduMax33","ES","A+","S","GT1","Unknown",337
11,335,"e01dddcb-54ac-407f-bf98-416c623b70d5","M. Hizal","TRL_LIGHTNING","DE","A+","S","GT1","Jaguar",335
11,335,"493512d2-4d94-41d2-ba62-f8283c2919dd","Kelly Vedovelli","La-Quica-_67","FR","A+","S","GT1","Lamborghini",335
13,330,"f912e13a-65f2-4daf-8d80-872578f92faa","Lion","GT--LI0N","DE","A+","S","GT1","Unknown",330
14,323,"905d6000-a219-4d8c-b412-5bed1d9f16e1","A. Giaccio","GTS92_agus05","ES","A+","S","GT1","Honda",323
14,323,"b7d7613d-7f93-41fc-b4d2-f715e1c8a487","Antony Raiola","INS_AntonyRaiola","IT","A+","S","GT1","Honda",323
14,323,"87a23ba5-d859-4464-8024-ef953da260e3","M. Bataller","GL_Tic-Tac","FR","A+","S","GT1","Lexus",323
17,321,"49a4d8ff-3f6a-4529-8dcc-6aa55d0c0fd2","YaYa","ilan_yaya","FR","A+","S","GT1","Renault",321
18,318,"a47aa923-83a9-48b6-9bba-6f0f3270d80a","ALGEBRON","Psicomantis99","IT","A+","S","GT1","Lexus",318
19,316,"3ff93703-4bff-4064-9ea0-fd0508282757","G. Humbert ","GL_Graigoue","FR","A+","S","GT1","Subaru",316
20,310,"a509f67d-4fee-4908-96dc-418842bea5b7","thaKai","KD_thaKai","GB","A+","S","GT1","Nissan",310
21,308,"4079c7db-be7f-4139-8d37-36e27a374467","TX3_Biinou67","TX3_Biinou67","FR","A+","S","GT1","Lamborghini",308
22,307,"43a30f98-b646-46ce-8ab1-2500573c1821","J. S. Needham","MarioSonic6464","GB","A+","S","GT1","Honda",307
23,301,"0010456c-04f5-4fed-8038-04328cf3cd3b","S.Ismael","NONO5471","FR","A+","S","GT1","Porsche",301
23,301,"8725cc50-7072-40e5-bb6d-a305da74f969","T. Dammann","EpicTobi26","DE","A+","S","GT1","AMG",301
23,301,"4c551e95-def0-41e1-892c-efd55c691ec0","MYTEAM_Jonathan","MYTEAM-Jonathan","FR","A+","S","GT1","AMG",301
26,296,"c22fc2ca-1d91-4310-acd2-119fb1bb4900","MACOVV","Silent_Noise_74","IN","A+","S","GT1","Lexus",296
27,294,"21f0c32d-2406-46c3-b101-f84a4a5b1424","Dustin","Dustin3822","DE","A+","S","GT1","Porsche",294
28,293,"7a61b3ad-6769-43e5-8681-d7321a2e5d79","L. Olivaux","Luolx","FR","A+","S","GT1","Porsche",293
29,292,"493b2698-dcc3-4125-862c-3fdfede5e2bb","Miji","miji02","IT","A+","S","GT1","Unknown",292
30,288,"405f7f8c-9b6b-4af8-ab36-a00d1f918168","REDS_GuiLLe","TriNiTy_GuiLLe","ES","A+","S","GT1","Unknown",288
31,287,"0c659449-065d-4c1a-bc96-a126ed4bcbb0","motor_insider","motor_insider","IT","A+","S","GT1","Porsche",287
32,284,"c87d97f7-4d4e-431e-9e2d-9f20aafcc2aa","J. Marti","OWLS_JMarti","ES","A+","S","GT1","BMW",284
33,282,"264a4429-3d9c-4fe7-bbe7-72d0c67330df","YT_Bevis91","BevisTV_ttv","HR","A+","S","GT1","Nissan",282
34,280,"5246849f-3c11-40c8-92c9-75a7de8dcfd7","Andy","Swiss-GT-Andy","CH","A+","S","GT1","Porsche",280
35,279,"6ee98aed-0d89-4d06-b5cc-cd3e05bbe49b","D.Senna","CDTB_Senna","PT","A+","S","GT1","AMG",279
36,276,"620599e9-a1d6-4b6e-8f9d-749e848f12a9","TCR_ jr_racing","TCR_jr_racing","NL","A+","S","GT1","AMG",276
37,273,"6ec06d04-f710-4090-bd3a-df228506785a","PRT_Lee Boon","Lee_Boon","IT","A+","S","GT1","Subaru",273
38,270,"979b432f-885e-4c5c-a1f2-31cf4671013c","Pernas_TSM","Pernas_TSM","PT","A+","S","GT1","Porsche",270
39,268,"fefa7c8d-3f5f-45e2-8a64-720b2eac8cac","FittipaldibaleX6","FittipaldiBaleX6","IT","A+","S","GT1","Lexus",268
39,268,"3787dddf-8d02-4bf3-81d5-d2de9f798cf6","Calado","calado92","PT","A+","S","GT1","Nissan",268
41,267,"e0d6b96c-fcab-4b97-8853-c19c52eaaa95","A. Sunda","NEWKENFREN","IT","A+","S","GT1","AMG",267
42,266,"f6073395-6366-444b-be65-a7c23364ecca","J. Szabo","ROH_Szabo","HU","A+","S","GT1","Porsche",266
