"rank","totalPoints","userID","nickname","onlineID","countryCode","driverRating","sportmanshipRating","class","manufacturer","round_1","round_2","round_3","round_4"
1,837,"bbb3cf7b-0157-4320-8f95-69b233e85ee4","J. Balding","Jackbalding25","GB","A+","S","GT1","Mazda",438,0,399,0
2,834,"15bb98f0-c560-4781-96b0-104b7a118309","OCT el de TDG","Twitch_Josete16","ES","A+","S","GT1","Toyota",408,426,0,0
3,829,"f2ec32d1-6ea6-4113-bec1-796a173c1518","Fento107","Dstinct_Fento107","GB","A+","S","GT1","AMG",425,0,0,404
4,814,"959b4bba-ed8a-41a0-9bb0-750f7b575dc3","M. Glushko","maximvgIushko","GB","A+","S","GT1","AMG",419,0,395,0
5,798,"51b5694e-522c-4a68-98d6-197e3a5e8a9c","G. Mangano","GioMan_57","IT","S","S","GT1","Lamborghini",0,0,413,385
6,796,"d17a6215-aa5e-46a0-b86e-e0fe33d01934","S. Vignolo","RR_JustSimo","IT","A+","S","GT1","Porsche",0,390,0,406
7,792,"79562c23-56ba-4427-a34e-6dceb1ac78e0","G. Cataldi","OP_Pepitox","IT","A+","S","GT1","Honda",0,410,382,0
8,789,"e01dddcb-54ac-407f-bf98-416c623b70d5","M. Hizal","TRL_LIGHTNING","DE","A+","S","GT1","Jaguar",381,408,0,0
9,784,"fb8b870a-8a34-4a11-abba-aecce7225ae5","R4M Konsta","R4M_Konsta","GR","A+","S","GT1","Chevrolet",397,387,0,0
10,777,"7770f912-a10c-4bc1-8c05-25039fbbdc4b","Aleš Till","GTB_Aja_Speed","CZ","A+","S","GT1","Lamborghini",0,0,376,401
11,755,"380f5965-e035-4ab8-8932-2ac22e313b23","F. Cervi","RR_TheGhostbaby","IT","A+","S","GT1","McLaren",401,354,0,0
12,745,"1e89df0b-dc29-4aa6-9711-56a49909702f","M. Buhdeima","PRiMA_Mohamed3","GB","A+","S","GT1","Dodge",340,405,0,0
12,745,"f8a4a102-3568-4ffa-b205-0e7e801c1daf","L. Burton","Dstinct_Lewis","GB","A+","S","GT1","Mazda",357,388,0,0
14,740,"d19713e8-ff60-4306-a240-a7993fb02fda","G. Coluccia","OP_Gino","IT","A+","S","GT1","Aston Martin",389,0,0,351
15,736,"6e0cc642-a0fd-4cd4-8e9b-4f85fba3a142","G. Marinos","FURIOUS_KNIGHTS","GR","A+","S","GT1","Honda",0,371,365,0
16,729,"6a920744-b66f-4cd8-829c-cf3ab11c51b5","DTR_DEC","is250dec","IE","A+","S","GT1","AMG",376,0,0,353
17,717,"b00dfe56-28bf-4786-9833-8a61b462ec5f","M. Hadi","Dstinct_Mohata","BG","A+","S","GT1","BMW",346,0,0,371
17,717,"226cd9b2-d737-4726-b2fb-76a7d1de5709","M. Hafidi","MehdiHafidi59","FR","A+","S","GT1","Mitsubishi",383,0,0,334
19,705,"8725cc50-7072-40e5-bb6d-a305da74f969","T. Dammann","EpicTobi26","DE","A+","S","GT1","AMG",360,345,0,0
20,700,"cdd2964b-49f4-471d-8f93-d07cdb0861b2","NiceGuyRacing","mcdonyan","RU","A+","S","GT1","Honda",349,351,0,0
21,699,"3fd46c5e-7d11-4f99-8d99-bfc1fc797635","Calster","Calster_25","GB","A+","S","GT1","Subaru",0,0,417,282
22,697,"bb2638ea-bc9f-4088-9935-03cb32d5bb49","N.Chaumont","MYTEAM-Poc","FR","A+","S","GT1","Renault",0,361,336,0
23,690,"4da16783-dcac-4f08-8d2a-e8dcd3ac338c","M. Tudsen","timekiller001-","DE","A+","S","GT1","Mazda",308,0,382,0
24,688,"f529f2c4-5cd2-40d7-b6bb-80cbf2aab784","YouTube Thekie25","kie25","GB","A+","S","GT1","Porsche",0,0,334,354
25,686,"c01d4187-4093-48b2-9e8e-deb5fbf616a1","M. Soler","GTS92_MSoler","ES","A+","S","GT1","Honda",357,0,329,0
25,686,"1942e054-a9a7-4e08-ba46-e79a94c3a1e8","K. Chouiref","VQS_CatFish","IT","A+","S","GT1","Lamborghini",0,336,350,0
27,678,"4079c7db-be7f-4139-8d37-36e27a374467","TX3_Biinou67","TX3_Biinou67","FR","A+","S","GT1","Lamborghini",0,0,348,330
28,677,"5e1b3c73-b0d9-417f-8141-b541dd2033d6","Augh","TRL_AUGH","FR","A+","S","GT1","Lamborghini",0,0,309,368
29,664,"284ce103-eec4-4c1b-bec5-17ecda1412fc","Adrenalin","blub1591","DE","A+","S","GT1","Porsche",335,0,0,329
30,658,"65f569c3-e923-4472-9bb8-5e76cfb84c19","Miumiu","VQS_Miumiu","GB","A+","S","GT1","Renault",337,321,0,0
31,655,"b9a5c888-4daf-4e0e-bdf3-a6c0e329a321","judicious","madthrottle","GB","A+","S","GT1","McLaren",0,336,319,0
32,649,"3d1254eb-ddb8-4124-8738-45dc927abd9c","dsxrp.","dsxrp","IT","A+","S","GT1","Toyota",0,304,345,0
